candidate_id;person_id;tenant_id;person_roles_id
3311923;0dbce81b-5193-422b-bb87-06bc6f6fcf12;8374a616-8b1e-46af-8d41-2bcf683234db;3c009081-fd9c-4121-843c-10b6a6b091d4
3282602;afd45a60-8ac3-4ff8-9f2e-a4c8193d3ba8;8374a616-8b1e-46af-8d41-2bcf683234db;d044db67-e342-437a-af0a-ab44f376c1a5
3234707;d848879b-5625-4480-a278-f72f7f728fd2;8374a616-8b1e-46af-8d41-2bcf683234db;59a15400-8aad-4325-a718-c9ce2f2c6b64
3234599;2ce6766a-538d-4619-81e6-8c95b7d4093b;8374a616-8b1e-46af-8d41-2bcf683234db;93724513-7ee6-4bb5-829c-7483ce3c5890
3234594;25c09e19-730c-4e04-ba39-f4a10ea09e2c;8374a616-8b1e-46af-8d41-2bcf683234db;567500bc-6813-407d-bd55-95b95fe1bc0f
3234384;78b224fa-9d03-4a98-aec1-45f61bd8b878;8374a616-8b1e-46af-8d41-2bcf683234db;cd92e88c-3c81-4bb0-b68f-8c6cbaf78bb2
3233881;dcc90f42-1269-4ae4-b9be-8182bd9c2f23;8374a616-8b1e-46af-8d41-2bcf683234db;3a99dbc0-b52f-4ffd-a6c0-21ed8fc89966
3233787;c56d189c-0e19-42cd-a5eb-fe8197898609;8374a616-8b1e-46af-8d41-2bcf683234db;814c0b01-c6a6-461e-b3f4-858e18e86cb1
3233746;5ebc61f8-245f-4848-9896-3bae4a63577c;8374a616-8b1e-46af-8d41-2bcf683234db;163c57be-8e6e-495e-aae6-9e955b2fd479
3233716;4fed5cf5-6437-4bf5-a22a-1a0b9b51b989;8374a616-8b1e-46af-8d41-2bcf683234db;f360ed6e-590e-4f18-8519-323a00fbd477
3233486;81f6a21a-e4d4-4c1f-92cf-916393608e85;8374a616-8b1e-46af-8d41-2bcf683234db;e6a7e5cc-07b6-4af4-9e95-7b61f99999f5
3233390;0c2d5dd0-7c4d-4714-827c-50def29e008d;8374a616-8b1e-46af-8d41-2bcf683234db;f53237b2-4e17-40e1-a062-0c94a891ae4e
3233268;bcea3709-435f-4fff-8c75-5c6d1e9c5165;8374a616-8b1e-46af-8d41-2bcf683234db;01be8687-10cd-433e-8f14-72b2e4fc8f4b
3232997;265c81a6-14e0-4f13-8d8e-a3a730d8f1e0;8374a616-8b1e-46af-8d41-2bcf683234db;1b9633ee-7c03-4907-9beb-e25d6da76a87
3232495;85450a71-c4c3-463b-9986-bb2f3da32371;8374a616-8b1e-46af-8d41-2bcf683234db;58fb353e-32a0-4052-ad19-a999abd8bbdd
3232123;a857482f-17fd-4df1-9552-96889afed3a5;8374a616-8b1e-46af-8d41-2bcf683234db;33c16ad0-8c7f-45fb-a2ec-bc5ca7ba3ac4
3232078;ea5e5c90-3db8-4359-ad79-7c981b16e6cb;8374a616-8b1e-46af-8d41-2bcf683234db;38da593b-ca40-4b1a-9547-18014c37b768
